Timestamp,Filesystem,Size,Used,Avail,Use%,Mounted on
2024-10-15 09:59:56,/dev/disk1s4s1   466Gi   9.6Gi   273Gi     4%    404k  2.9G    0%   /
2024-10-15 09:59:56,devfs            201Ki   201Ki     0Bi   100%     694     0  100%   /dev
2024-10-15 09:59:56,/dev/disk1s2     466Gi   2.0Gi   273Gi     1%    1.4k  2.9G    0%   /System/Volumes/Preboot
2024-10-15 09:59:56,/dev/disk1s6     466Gi    12Gi   273Gi     5%      12  2.9G    0%   /System/Volumes/VM
2024-10-15 09:59:56,/dev/disk1s5     466Gi   2.6Mi   273Gi     1%      25  2.9G    0%   /System/Volumes/Update
2024-10-15 09:59:56,/dev/disk1s1     466Gi   168Gi   273Gi    39%    1.4M  2.9G    0%   /System/Volumes/Data
2024-10-15 09:59:56,map auto_home      0Bi     0Bi     0Bi   100%       0     0     -   /System/Volumes/Data/home
2024-10-15 09:59:56,map -fstab         0Bi     0Bi     0Bi   100%       0     0     -   /System/Volumes/Data/Network/Servers
2024-10-15 10:00:56,/dev/disk1s4s1   466Gi   9.6Gi   274Gi     4%    404k  2.9G    0%   /
2024-10-15 10:00:56,devfs            201Ki   201Ki     0Bi   100%     694     0  100%   /dev
2024-10-15 10:00:56,/dev/disk1s2     466Gi   2.0Gi   274Gi     1%    1.4k  2.9G    0%   /System/Volumes/Preboot
2024-10-15 10:00:56,/dev/disk1s6     466Gi    11Gi   274Gi     4%      11  2.9G    0%   /System/Volumes/VM
2024-10-15 10:00:56,/dev/disk1s5     466Gi   2.6Mi   274Gi     1%      25  2.9G    0%   /System/Volumes/Update
2024-10-15 10:00:56,/dev/disk1s1     466Gi   168Gi   274Gi    38%    1.4M  2.9G    0%   /System/Volumes/Data
2024-10-15 10:00:56,map auto_home      0Bi     0Bi     0Bi   100%       0     0     -   /System/Volumes/Data/home
2024-10-15 10:00:56,map -fstab         0Bi     0Bi     0Bi   100%       0     0     -   /System/Volumes/Data/Network/Servers
